timestamp,host,ip,port,status,latency_ms
2026-06-11T20:16:58.636949083+02:00,127.0.0.1,127.0.0.1,8080,ok,0.405
2026-06-11T20:16:59.637359997+02:00,127.0.0.1,127.0.0.1,8080,ok,0.634
2026-06-11T20:17:00.637972628+02:00,127.0.0.1,127.0.0.1,8080,ok,0.638
2026-06-11T20:17:01.638656707+02:00,127.0.0.1,127.0.0.1,8080,ok,0.392
2026-06-11T20:17:02.639761074+02:00,127.0.0.1,127.0.0.1,8080,ok,0.603
2026-06-11T20:17:03.640348658+02:00,127.0.0.1,127.0.0.1,8080,ok,0.351
2026-06-11T20:17:04.640462543+02:00,127.0.0.1,127.0.0.1,8080,ok,0.259
2026-06-11T20:17:05.64077713+02:00,127.0.0.1,127.0.0.1,8080,ok,0.287
2026-06-11T20:17:06.641178214+02:00,127.0.0.1,127.0.0.1,8080,ok,0.447
2026-06-11T20:17:07.641623237+02:00,127.0.0.1,127.0.0.1,8080,ok,0.534
2026-06-11T20:17:08.641758+02:00,127.0.0.1,127.0.0.1,8080,ok,0.273
2026-06-11T20:17:09.642073328+02:00,127.0.0.1,127.0.0.1,8080,ok,0.373
2026-06-11T20:17:10.642877728+02:00,127.0.0.1,127.0.0.1,8080,ok,0.340
2026-06-11T20:17:11.643785477+02:00,127.0.0.1,127.0.0.1,8080,ok,0.220
2026-06-11T20:17:12.644018194+02:00,127.0.0.1,127.0.0.1,8080,ok,0.277
2026-06-11T20:17:13.644370814+02:00,127.0.0.1,127.0.0.1,8080,ok,0.450
2026-06-11T20:17:14.644731016+02:00,127.0.0.1,127.0.0.1,8080,ok,0.695
2026-06-11T20:17:15.64491264+02:00,127.0.0.1,127.0.0.1,8080,ok,0.452
2026-06-11T20:17:16.645064628+02:00,127.0.0.1,127.0.0.1,8080,ok,0.439
2026-06-11T20:17:17.645614716+02:00,127.0.0.1,127.0.0.1,8080,ok,0.447
2026-06-11T20:17:18.645789398+02:00,127.0.0.1,127.0.0.1,8080,ok,0.463
2026-06-11T20:17:19.646347669+02:00,127.0.0.1,127.0.0.1,8080,ok,0.512
2026-06-11T20:17:20.646629301+02:00,127.0.0.1,127.0.0.1,8080,ok,0.445
2026-06-11T20:17:21.647729996+02:00,127.0.0.1,127.0.0.1,8080,ok,0.355
2026-06-11T20:17:22.648531748+02:00,127.0.0.1,127.0.0.1,8080,ok,0.721
2026-06-11T20:17:23.648764509+02:00,127.0.0.1,127.0.0.1,8080,ok,0.350
2026-06-11T20:17:24.649162214+02:00,127.0.0.1,127.0.0.1,8080,ok,0.446
2026-06-11T20:17:25.649661385+02:00,127.0.0.1,127.0.0.1,8080,ok,0.432
2026-06-11T20:17:26.650217472+02:00,127.0.0.1,127.0.0.1,8080,ok,0.527
2026-06-11T20:17:27.650631121+02:00,127.0.0.1,127.0.0.1,8080,ok,0.421
2026-06-11T20:17:28.651747257+02:00,127.0.0.1,127.0.0.1,8080,ok,0.436
2026-06-11T20:17:29.652386131+02:00,127.0.0.1,127.0.0.1,8080,ok,0.174
2026-06-11T20:17:30.652767466+02:00,127.0.0.1,127.0.0.1,8080,ok,0.373
2026-06-11T20:17:31.653209916+02:00,127.0.0.1,127.0.0.1,8080,ok,0.384
2026-06-11T20:17:32.65344279+02:00,127.0.0.1,127.0.0.1,8080,ok,0.365
2026-06-11T20:17:33.653922911+02:00,127.0.0.1,127.0.0.1,8080,ok,0.365
